false:1:59.6509:0.0419906:1
false:2:59.9338:2.05134:60.1748
false:3:61.893:123.458:3450.22
true:1:60.5741:0.0416111:1
true:2:3.24553:0.15951:56.9808
true:3:21.574:2.62167:188.167
true:4:3.62389:11.908:4060.14
true:5:18.013:196.826:17364.9
true:6:3.80974:823.282:269366
true:4:3.10376:8.01192:3335.98
true:4:2.24124:14.9387:7928.09
true:4:2.81561:7.22212:3378.46
true:4:2.4147:12.8859:6719.01
true:4:2.65155:8.33043:3982.54
true:4:2.5614:9.16962:4315.07
true:4:3.34042:7.27798:2955.11
true:4:3.26553:7.38481:3133.85
true:4:2.6516:3.71694:1743.79
true:4:3.23191:5.30208:2206.84
true:4:2.82041:2.6562:1223.01
true:4:2.34722:11.3343:5930.98
true:4:2.61206:9.66543:4673.18
true:4:2.24732:18.2474:9653.52
false:4:52.9236:3504.96:124990
true:4:3.08892:8.12382:3348.61
true:3:18.6708:1.78672:161.916
true:3:18.8628:1.62029:143.757
true:3:20.8895:2.05238:168.903
true:3:11.7255:1.47103:211.736
true:3:21.2355:1.98675:162.526
true:3:20.8006:1.91381:160.402
true:3:20.5999:2.17376:166.979
true:3:14.4389:1.79835:204.585
true:5:21.029:129.804:9860.27
